0
columnName_sliceName
"precisionVal, recallVal, fbetaVal"
"('marital-status_ Divorced', (0.8909090909090909, 0.494949494949495, 0.6363636363636364))"
"('marital-status_ Married-AF-spouse', (0.0, 0.0, 0.0))"
"('marital-status_ Married-civ-spouse', (0.7598710717163578, 0.703206562266965, 0.7304415182029435))"
"('marital-status_ Married-spouse-absent', (1.0, 0.3333333333333333, 0.5))"
"('marital-status_ Never-married', (0.9, 0.42857142857142855, 0.5806451612903225))"
"('marital-status_ Separated', (1.0, 0.5, 0.6666666666666666))"
"('marital-status_ Widowed', (0.7, 0.4666666666666667, 0.56))"
"('occupation_ ?', (0.6451612903225806, 0.5263157894736842, 0.5797101449275363))"
"('occupation_ Adm-clerical', (0.6623376623376623, 0.5483870967741935, 0.6))"
"('occupation_ Armed-Forces', (1.0, 1.0, 1.0))"
"('occupation_ Craft-repair', (0.7572815533980582, 0.4105263157894737, 0.5324232081911262))"
"('occupation_ Exec-managerial', (0.7995337995337995, 0.8511166253101737, 0.8245192307692308))"
"('occupation_ Farming-fishing', (0.8888888888888888, 0.4, 0.5517241379310346))"
"('occupation_ Handlers-cleaners', (0.75, 0.17647058823529413, 0.2857142857142857))"
"('occupation_ Machine-op-inspct', (0.7692307692307693, 0.3389830508474576, 0.4705882352941177))"
"('occupation_ Other-service', (0.6923076923076923, 0.3103448275862069, 0.4285714285714286))"
"('occupation_ Priv-house-serv', (1.0, 1.0, 1.0))"
"('occupation_ Prof-specialty', (0.7972972972972973, 0.8104395604395604, 0.8038147138964578))"
"('occupation_ Protective-serv', (0.7391304347826086, 0.68, 0.7083333333333334))"
"('occupation_ Sales', (0.7225433526011561, 0.6944444444444444, 0.708215297450425))"
"('occupation_ Tech-support', (0.8301886792452831, 0.7213114754098361, 0.7719298245614035))"
"('occupation_ Transport-moving', (0.7, 0.28, 0.4))"
"('relationship_ Husband', (0.7657822506861848, 0.7039529015979815, 0.733567046450482))"
"('relationship_ Not-in-family', (0.88, 0.4861878453038674, 0.6263345195729537))"
"('relationship_ Other-relative', (1.0, 0.4, 0.5714285714285715))"
"('relationship_ Own-child', (0.625, 0.2777777777777778, 0.3846153846153846))"
"('relationship_ Unmarried', (0.8888888888888888, 0.38095238095238093, 0.5333333333333333))"
"('relationship_ Wife', (0.7222222222222222, 0.7172413793103448, 0.7197231833910034))"
"('race_ Amer-Indian-Eskimo', (1.0, 0.6666666666666666, 0.8))"
"('race_ Asian-Pac-Islander', (0.7222222222222222, 0.7358490566037735, 0.7289719626168224))"
"('race_ Black', (0.8431372549019608, 0.5733333333333334, 0.6825396825396826))"
"('race_ Other', (0.5, 0.25, 0.3333333333333333))"
"('race_ White', (0.7699044585987261, 0.669204152249135, 0.7160310995927435))"
"('sex_ Female', (0.7647058823529411, 0.6033755274261603, 0.6745283018867924))"
"('sex_ Male', (0.7716468590831919, 0.676842889054356, 0.7211424038080128))"
"('native-country_ ?', (0.8666666666666667, 0.5909090909090909, 0.7027027027027029))"
"('native-country_ Cambodia', (0.0, 1.0, 0.0))"
"('native-country_ Canada', (0.8, 0.8, 0.8000000000000002))"
"('native-country_ China', (0.4, 1.0, 0.5714285714285715))"
"('native-country_ Columbia', (1.0, 0.0, 0.0))"
"('native-country_ Cuba', (1.0, 0.8, 0.888888888888889))"
"('native-country_ Dominican-Republic', (1.0, 1.0, 1.0))"
"('native-country_ Ecuador', (1.0, 1.0, 1.0))"
"('native-country_ El-Salvador', (1.0, 1.0, 1.0))"
"('native-country_ England', (0.3333333333333333, 0.3333333333333333, 0.3333333333333333))"
"('native-country_ France', (1.0, 0.6, 0.7499999999999999))"
"('native-country_ Germany', (0.8333333333333334, 0.7142857142857143, 0.7692307692307692))"
"('native-country_ Greece', (1.0, 1.0, 1.0))"
"('native-country_ Guatemala', (1.0, 1.0, 1.0))"
"('native-country_ Haiti', (1.0, 1.0, 1.0))"
"('native-country_ Honduras', (1.0, 1.0, 1.0))"
"('native-country_ Hong', (0.0, 0.0, 0.0))"
"('native-country_ Hungary', (1.0, 1.0, 1.0))"
"('native-country_ India', (0.8, 0.8, 0.8000000000000002))"
"('native-country_ Iran', (0.3333333333333333, 0.25, 0.28571428571428575))"
"('native-country_ Ireland', (1.0, 0.0, 0.0))"
"('native-country_ Italy', (1.0, 1.0, 1.0))"
"('native-country_ Jamaica', (1.0, 0.3333333333333333, 0.5))"
"('native-country_ Japan', (0.75, 0.5, 0.6))"
"('native-country_ Laos', (1.0, 1.0, 1.0))"
"('native-country_ Mexico', (0.8, 1.0, 0.888888888888889))"
"('native-country_ Nicaragua', (1.0, 1.0, 1.0))"
"('native-country_ Outlying-US(Guam-USVI-etc)', (1.0, 1.0, 1.0))"
"('native-country_ Peru', (1.0, 1.0, 1.0))"
"('native-country_ Philippines', (0.8181818181818182, 0.8181818181818182, 0.8181818181818182))"
"('native-country_ Poland', (0.5, 0.3333333333333333, 0.4))"
"('native-country_ Portugal', (1.0, 0.5, 0.6666666666666666))"
"('native-country_ Puerto-Rico', (0.0, 1.0, 0.0))"
"('native-country_ Scotland', (1.0, 1.0, 1.0))"
"('native-country_ South', (1.0, 0.6666666666666666, 0.8))"
"('native-country_ Taiwan', (1.0, 1.0, 1.0))"
"('native-country_ Thailand', (1.0, 1.0, 1.0))"
"('native-country_ Trinadad&Tobago', (1.0, 1.0, 1.0))"
"('native-country_ United-States', (0.7702060221870047, 0.66484268125855, 0.7136563876651982))"
"('native-country_ Vietnam', (1.0, 1.0, 1.0))"
"('native-country_ Yugoslavia', (0.0, 0.0, 0.0))"
