0
columnName_sliceName
"precisionVal, recallVal, fbetaVal"
"('occupation_ Priv-house-serv', (1.0, 1.0, 1.0))"
"('occupation_ Prof-specialty', (0.856338028169014, 0.781491002570694, 0.8172043010752688))"
"('occupation_ Protective-serv', (0.7567567567567568, 0.6511627906976745, 0.7000000000000001))"
"('occupation_ Sales', (0.7241379310344828, 0.6885245901639344, 0.7058823529411765))"
"('occupation_ Tech-support', (0.6551724137931034, 0.7450980392156863, 0.6972477064220184))"
"('occupation_ Transport-moving', (0.7027027027027027, 0.37681159420289856, 0.49056603773584906))"
"('relationship_ Husband', (0.7914735866543096, 0.7075393537696769, 0.747156605424322))"
"('relationship_ Not-in-family', (0.85, 0.5059523809523809, 0.6343283582089552))"
"('relationship_ Other-relative', (0.5, 0.25, 0.3333333333333333))"
"('relationship_ Own-child', (0.75, 0.375, 0.5))"
"('relationship_ Unmarried', (0.875, 0.42, 0.5675675675675675))"
"('relationship_ Wife', (0.7163120567375887, 0.7318840579710145, 0.7240143369175627))"
"('race_ Amer-Indian-Eskimo', (0.6666666666666666, 0.4, 0.5))"
"('race_ Asian-Pac-Islander', (0.7608695652173914, 0.5833333333333334, 0.6603773584905662))"
"('race_ Black', (0.8571428571428571, 0.6666666666666666, 0.75))"
"('race_ Other', (1.0, 0.6, 0.7499999999999999))"
"('race_ White', (0.7852512155591572, 0.6790469516468115, 0.7282976324689966))"
"('sex_ Female', (0.7634408602150538, 0.6068376068376068, 0.6761904761904762))"
"('sex_ Male', (0.7923076923076923, 0.6851441241685144, 0.7348394768133175))"
"('native_country_ ?', (0.8275862068965517, 0.6666666666666666, 0.7384615384615385))"
"('native_country_ Cambodia', (1.0, 1.0, 1.0))"
"('native_country_ Canada', (0.9, 1.0, 0.9473684210526316))"
"('native_country_ China', (1.0, 0.5, 0.6666666666666666))"
"('native_country_ Columbia', (1.0, 1.0, 1.0))"
"('native_country_ Cuba', (1.0, 0.5555555555555556, 0.7142857142857143))"
"('native_country_ Dominican-Republic', (1.0, 0.0, 0.0))"
"('native_country_ Ecuador', (0.0, 0.0, 0.0))"
"('native_country_ El-Salvador', (1.0, 1.0, 1.0))"
"('native_country_ England', (0.8, 0.6666666666666666, 0.7272727272727272))"
"('native_country_ France', (1.0, 1.0, 1.0))"
"('native_country_ Germany', (1.0, 0.5, 0.6666666666666666))"
"('native_country_ Greece', (1.0, 1.0, 1.0))"
"('native_country_ Guatemala', (1.0, 1.0, 1.0))"
"('native_country_ Haiti', (1.0, 0.5, 0.6666666666666666))"
"('native_country_ Holand-Netherlands', (1.0, 1.0, 1.0))"
"('native_country_ Honduras', (1.0, 1.0, 1.0))"
"('native_country_ Hong', (1.0, 0.5, 0.6666666666666666))"
"('native_country_ Hungary', (1.0, 1.0, 1.0))"
"('native_country_ India', (0.6666666666666666, 0.3333333333333333, 0.4444444444444444))"
"('native_country_ Iran', (0.8571428571428571, 0.8571428571428571, 0.8571428571428571))"
"('native_country_ Ireland', (1.0, 1.0, 1.0))"
"('native_country_ Italy', (0.6666666666666666, 1.0, 0.8))"
"('native_country_ Jamaica', (0.75, 0.6, 0.6666666666666665))"
"('native_country_ Japan', (0.3333333333333333, 1.0, 0.5))"
"('native_country_ Laos', (1.0, 1.0, 1.0))"
"('native_country_ Mexico', (0.0, 0.0, 0.0))"
"('native_country_ Nicaragua', (1.0, 1.0, 1.0))"
"('native_country_ Outlying-US(Guam-USVI-etc)', (1.0, 1.0, 1.0))"
"('native_country_ Peru', (1.0, 1.0, 1.0))"
"('native_country_ Philippines', (0.5714285714285714, 0.8888888888888888, 0.6956521739130435))"
"('native_country_ Poland', (1.0, 0.5, 0.6666666666666666))"
"('native_country_ Portugal', (1.0, 0.0, 0.0))"
"('native_country_ Puerto-Rico', (1.0, 1.0, 1.0))"
"('native_country_ Scotland', (1.0, 1.0, 1.0))"
"('native_country_ South', (0.6666666666666666, 0.6666666666666666, 0.6666666666666666))"
"('native_country_ Taiwan', (1.0, 0.625, 0.7692307692307693))"
"('native_country_ Thailand', (1.0, 0.0, 0.0))"
"('native_country_ Trinadad&Tobago', (1.0, 1.0, 1.0))"
"('native_country_ United-States', (0.7850770478507705, 0.6773967809657103, 0.7272727272727273))"
"('native_country_ Vietnam', (1.0, 0.25, 0.4))"
"('native_country_ Yugoslavia', (1.0, 0.5, 0.6666666666666666))"
